band_prefix,band_suffix,band_n,sex,territory,year,month,day,presence_absence
2261,76849,2276176849,male,3,2021,7,3,1
,,coo,female,3,2021,7,3,1
2541,91794,254191794,female,3,2021,7,3,1
2261,76849,2276176849,male,3,2021,7,4,1
,,coo,female,3,2021,7,4,1
2261,76849,2276176849,male,3,2021,7,11,NA
,,coo,female,3,2021,7,11,NA
2541,91794,254191794,female,3,2021,7,14,0
2661,76979,266196979,male,4,2021,4,30,1
2661,76979,266196979,male,4,2021,5,14,1
2661,76979,266196979,male,4,2021,5,23,1
2661,76979,266196979,male,4,2021,6,3,1
2661,76979,266196979,male,4,2021,6,22,1
2661,76979,266196979,male,4,2021,7,11,1
2661,76971,266176971,male,6,2021,4,20,1
2661,76794,266176794,female,6,2021,4,20,0
2661,76971,266176971,male,6,2021,4,30,NA
2661,76794,266176794,female,6,2021,4,30,NA
,,pwmg,male,6,2021,4,30,1
2661,76971,266176971,male,6,2021,5,6,NA
2661,76794,266176794,female,6,2021,5,6,NA
,,pwmg,male,6,2021,5,6,1
,,pwmg,male,6,2021,5,13,1
2661,76971,266176971,male,6,2021,5,13,0
2661,76794,266176794,female,6,2021,5,13,0
2661,76971,266176971,male,6,2021,5,29,1
2661,76794,266176794,female,6,2021,5,29,0
2661,76971,266176971,male,6,2021,6,1,1
2661,76794,266176794,female,6,2021,6,1,0
2661,76979,266196979,male,6,2021,6,2,1
2661,76971,266176971,male,6,2021,6,2,1
2661,76794,266176794,female,6,2021,6,2,0
2661,76979,266196979,male,6,2021,6,4,1
2661,76971,266176971,male,6,2021,6,4,1
2661,76794,266176794,female,6,2021,6,4,0
2261,76657,226176657,male,6,2021,6,5,1
2661,76979,266196979,male,6,2021,6,5,1
2661,76794,266176794,female,6,2021,6,8,NA
2261,76849,2276176849,male,6,2021,6,8,1
,,coo,female,6,2021,6,8,1
2661,76971,266176971,male,6,2021,6,11,1
2661,76794,266176794,female,6,2021,6,11,1
2661,76971,266176971,male,6,2021,6,12,1
2661,76794,266176794,female,6,2021,6,12,1
2661,76971,266176971,male,6,2021,7,11,1
2661,76794,266176794,female,6,2021,7,11,1
2661,76924,266176924,male,7,2021,4,27,NA
2541,91794,254191794,female,7,2021,4,27,NA
2661,76924,266176924,male,7,2021,5,5,1
2541,91794,254191794,female,7,2021,5,5,1
2661,76924,266176924,male,7,2021,5,14,NA
2541,91794,254191794,female,7,2021,5,14,1
2661,76924,266176924,male,7,2021,5,19,1
2541,91794,254191794,female,7,2021,5,19,1
2661,76924,266176924,male,7,2021,5,23,1
2541,91794,254191794,female,7,2021,5,23,1
2661,76924,266176924,male,7,2021,5,29,NA
2541,91794,254191794,female,7,2021,5,29,1
2661,76924,266176924,male,7,2021,5,30,NA
2541,91794,254191794,female,7,2021,5,30,1
2661,76971,266176971,male,7,2021,6,8,1
2661,76924,266176924,male,7,2021,6,25,0
2541,91794,254191794,female,7,2021,6,25,0
,,mgbr,NA,7,2021,6,26,1
2541,91794,254191794,female,7,2021,6,29,1
2661,76924,266176924,male,7,2021,6,29,0
2661,76924,266176924,male,7,2021,7,1,0
2541,91794,254191794,female,7,2021,7,1,0
2661,76924,266176924,male,7,2021,7,3,NA
2661,76924,266176924,male,7,2021,7,14,0
2661,76844,266176844,male,8,2021,4,27,NA
2981,13767,298113767,female,8,2021,4,27,1
2661,76844,266176844,male,8,2021,5,5,NA
2981,13767,298113767,female,8,2021,5,5,1
